Term,Definition,Category,associatedMaterial
Cinematography,"The art and technique of capturing moving images on film or digitally, encompassing camera movement, lighting, and composition; a key element of visual storytelling in film and video.",,
Close-Up,"A shot that tightly frames a subject, such as a person's face or a small object, emphasizing detail, emotion, or importance.",,
Color Grading,"The process of adjusting the colors, tones, and contrast of a film or video to create a specific look or mood; often performed in post-production using specialized software.",,
Compositing,"The process of combining multiple visual elements, such as live-action footage, animation, or CGI, into a single image or sequence; used to create complex scenes, visual effects, and transitions.",,
Readability,"The ease with which users can comprehend and process written content in a digital product; influenced by factors such as typography, contrast, and line length; an essential aspect of UX design that impacts user satisfaction and comprehension.",,
Scenario,"A narrative description of a user's experience with a digital product or service, based on research and personas; used to explore and communicate design concepts, empathize with users, and ensure a product meets the needs of its target audience.",,
Scroll Depth,"A measure of how far users scroll down a page or view content within a digital product; provides insights into user engagement, content consumption, and potential issues with layout or information hierarchy.",,
Time-on-Task,"A usability metric that measures the time it takes for users to complete a specific task within a digital product; can be used to evaluate efficiency, benchmark performance, and identify areas for improvement in the user experience.",,
Top-Down Processing,"A cognitive process in which users rely on prior knowledge, expectations, and mental models to interpret and make sense of new information or experiences; influences how users perceive and interact with digital products, impacting usability and learnability.",,
Usability Guidelines,"Digital products; often based on research, industry standards, and expert consensus; provide a foundation for UX designers to evaluate and improve their designs to enhance the overall user experience.",,
User Engagement,"The degree to which users interact with and invest time in a digital product or service; influenced by factors such as usability, value, and satisfaction; a key indicator of a product's success and long-term viability.",,
Voice User Interface (VUI),"A user interface that allows users to interact with a digital product or service using voice commands; requires careful consideration of language, tone, and context in UX design to create natural, efficient, and satisfying experiences.",,
Web Content Accessibility Guidelines (WCAG),A set of internationally recognized guidelines and best practices for creating accessible digital content and experiences; provides a framework for UX designers to ensure equal access and opportunity for people with disabilities.,,
Design Tokens,"A set of predefined variables, such as colors, typography, or spacing, that are used to maintain consistency and scalability in UI design; enables efficient collaboration between designers and developers and ensures a unified visual language across different platforms and devices.",,
Error Prevention,"UX design techniques and strategies aimed at minimizing or eliminating the occurrence of user errors; includes clear instructions, input validation, and context-sensitive help; improves the overall user experience by reducing frustration and confusion.",,
Fitts' Law,A principle that describes the relationship between the size and distance of a target and the time it takes to acquire it with a pointing device; informs UI design by guiding the placement and sizing of interactive elements to optimize usability and efficiency.,,
Hallway Testing,"An informal usability testing method that involves recruiting participants on the spot, such as coworkers or passersby, to quickly gather feedback on a design or prototype; provides rapid insights and can help identify high-level usability issues.",,
Interaction Cost,"A measure of the effort, time, and cognitive load required for users to complete an action or task within a digital product; UX designers strive to minimize interaction cost to create more efficient, intuitive, and satisfying experiences.",,
Journey Mapping,"A visual representation of a user's experience with a product or service over time, highlighting key touchpoints, emotions, and pain points; helps UX designers understand and optimize the end-to-end user journey, identifying opportunities for improvement and innovation.",,
Keyboard Accessibility,"Designing digital products to be fully usable with keyboard input, ensuring that all features and interactions can be accessed and performed without the use of a mouse; an essential aspect of web accessibility and inclusive design.",,
Latency,"The time delay between a user's action and the system's response; minimizing latency is crucial in UX design to create responsive, efficient, and satisfying interactions.",,
Modular Design,"An approach to design that involves creating reusable components or modules that can be combined and rearranged to create different layouts, pages, or experiences; promotes consistency, scalability, and maintainability in UX design.",,
Progressive Disclosure,"A design technique that presents only the essential information or actions upfront, revealing additional details or options as needed; helps reduce cognitive load and simplify the user experience, making complex tasks more manageable.",,
Web Accessibility,"The practice of designing and developing digital products that are usable by people with disabilities; involves following accessibility guidelines, such as the Web Content Accessibility Guidelines (WCAG), to ensure equal access and opportunity for all users.",,
Wireframe,"A low-fidelity, schematic representation of a digital product's layout and structure, focusing on the organization of content, functionality, and navigation; used in the early stages of UX design to establish a foundation for visual design and interaction.",,
Wizard,"A step-by-step guided process that helps users complete complex tasks or set up a digital product; often used in onboarding, installation, or configuration scenarios to simplify the user experience and ensure successful outcomes.",,
Zero State,"The initial state of a digital product or feature when no content or data has been added by the user; an important consideration in UX design, as it sets the tone for the user experience and provides guidance on how to get started or add content.",,
80/20 Rule (Pareto Principle),A principle suggesting that 80% of effects or results come from 20% of the causes or inputs; applied in UX design to prioritize features and improvements that will have the greatest impact on user satisfaction and product success.,,
A/B Testing,"A research method that compares two or more variations of a design element or feature to determine which performs better; used in UX design to optimize conversion rates, user engagement, or other key performance indicators (KPIs).",,
Affinity Diagramming,"A collaborative technique used to organize and categorize qualitative data, such as user feedback or research findings; involves grouping related ideas or themes on sticky notes or cards, helping UX designers identify patterns, insights, and opportunities for improvement.",,
Cognitive Walkthrough,"A usability inspection method that involves systematically stepping through a task or user flow to evaluate how well the design supports users' goals, expectations, and mental models; identifies potential usability issues and areas for improvement.",,
Core Loop,"The central sequence of actions or interactions that users repeat throughout their experience with a digital product or service; a critical aspect of UX design, as it drives user engagement, retention, and satisfaction.",,
Responsive Design,"An approach to web design that ensures a consistent and usable experience across different devices and screen sizes; involves designing and coding a website or application to adapt to the user's device, resolution, and orientation.",,
RITE Method (Rapid Iterative Testing and Evaluation),"A usability testing method that emphasizes fast, iterative changes based on user feedback; involves making design adjustments between testing sessions to quickly identify and address issues, leading to a more efficient and effective testing process.",,
Screen Flow,"A visual representation of the sequence of screens and user interactions within a digital product; helps UX designers understand the user journey, identify potential issues, and optimize the overall user experience.",,
Semantic Differential Scale,"A type of survey question that measures user attitudes or perceptions using a set of bipolar adjectives, such as ""easy to use"" versus ""difficult to use""; provides quantitative data to inform UX design decisions and track changes over time.",,
Single-Page Application (SPA),"A web application that dynamically updates and loads content within a single HTML page, rather than navigating to separate pages; can improve the user experience by reducing loading times and providing a more seamless interaction.",,
Usability Engineering,"A discipline that focuses on the systematic application of usability principles, methods, and techniques throughout the design process; aims to create digital products that are efficient, effective, and satisfying for users.",,
User Flow,"A visual representation of the steps and decision points that users go through when interacting with a digital product or feature; helps UX designers understand user goals, identify potential bottlenecks, and optimize the overall user experience.",,
User Interface (UI) Pattern,"A reusable solution to common UI design problems, such as navigation menus, search bars, or form elements; helps establish consistency and best practices in UI design, improving the overall user experience.",,
User Testing,"The process of observing and evaluating users as they interact with a digital product or prototype; provides insights into usability, learnability, and satisfaction, informing design improvements and validation.",,
Value Proposition,A statement that articulates the unique benefits and value that a digital product or service provides to users; helps guide UX design decisions by focusing on the features and experiences that are most important to the target audience.,,
Information Scent,"A term used to describe the cues and indicators that guide users towards relevant information or actions within a digital product; strong information scent helps users navigate and find what they're looking for more easily, improving the overall user experience.",,
Iterative Design,"A design approach that involves continuous cycles of prototyping, testing, and refining a product or feature; encourages learning from user feedback and making improvements based on real-world use, resulting in more effective and user-centered designs.",,
Jobs-to-be-Done (JTBD),A framework that focuses on understanding the underlying motivations and desired outcomes that drive users to use a product or service; helps UX designers identify opportunities for innovation and create solutions that address users' specific needs.,,
Kano Model,A theory of product development and customer satisfaction that categorizes features based on their impact on user satisfaction; helps UX designers prioritize features and allocate resources to maximize user satisfaction and product success.,,
Learnability,"A measure of how easily users can learn to use a digital product or feature; an essential aspect of usability that considers factors such as consistency, feedback, and error prevention; impacts user satisfaction, engagement, and long-term success.",,
Nielsen's Ten Usability Heuristics,"A set of widely recognized usability principles developed by Jakob Nielsen, used as a basis for heuristic evaluations and general UX design best practices; includes visibility of system status, user control and freedom, and error prevention.",,
Pain Points,"Challenges, frustrations, or problems that users encounter when interacting with a digital product or service; identifying and addressing pain points is a key objective of UX design to improve the overall user experience.",,
Personas,"Fictional representations of target user groups, based on user research and data; used to guide design decisions, empathize with users, and ensure a product or service meets the needs of its intended audience.",,
Quantitative Research,"Research methods that produce numerical data and statistics, such as surveys, analytics, or A/B testing; used in UX design to measure user behavior, preferences, and performance, complementing qualitative insights.",,
Rapid Prototyping,"The process of quickly creating, testing, and iterating on low-fidelity prototypes to explore and refine design concepts; allows UX designers to gather feedback, identify issues, and make improvements more efficiently and cost-effectively.",,
First Click Testing,"A usability testing method that focuses on users' initial interactions with a digital product, assessing the intuitiveness of navigation and information architecture; helps identify areas of confusion or potential improvement in the user experience.",,
Mental Model,"An individual's internal representation of how a system or process works, based on their experiences, beliefs, and understanding; UX designers aim to create interfaces and interactions that align with users' mental models to improve usability and learnability.",,
Mobile-first Design,"A design approach that prioritizes the mobile user experience, designing for smaller screens and touch interactions before scaling up to larger devices; ensures a consistent and usable experience across different platforms and devices.",,
Multivariate Testing,"A method of comparing multiple variations of a design or feature simultaneously to determine which performs best; used in UX design to optimize conversion rates, user engagement, or other key performance indicators (KPIs).",,
Task Scenarios,"Realistic, context-driven situations or problems that users may encounter when interacting with a product or service; used in usability testing to observe and evaluate how users perform tasks, identify pain points, and inform design improvements.",,
Tree Testing,"A user research method that evaluates the findability and organization of content within a digital product's information architecture; involves users navigating a simplified, text-based hierarchy to complete tasks; identifies issues with labeling, structure, and navigation.",,
User Acceptance Testing (UAT),The final stage of testing in which real users evaluate a product or feature to ensure it meets their needs and expectations; validates the user experience and identifies any remaining issues before launch.,,
Voice of the Customer (VoC),"A term that represents the needs, preferences, and feedback of users, collected through various research methods; informs UX design decisions, ensuring that the product or service aligns with user expectations and requirements.",,
Design Principles,"Foundational guidelines that inform and shape the design process, ensuring that the final product aligns with the desired goals and user needs; can be organization-specific or general, such as simplicity, consistency, and flexibility.",,
Double Diamond (continued),"A visual model of the design process that represents four distinct phases – Discover, Define, Develop, and Deliver; emphasizes the importance of divergent and convergent thinking to explore, refine, and validate solutions in UX design.",,
Heuristic Evaluation,A usability inspection method in which experts evaluate a digital product against a set of established usability principles or heuristics; identifies potential usability issues and areas for improvement in the user experience.,,
Workflow,"The sequence of steps, tasks, and interactions that users follow to achieve a specific goal within a digital product; understanding user workflows helps designers create intuitive, efficient, and enjoyable experiences.",,
508 Compliance,A set of accessibility standards outlined in Section 508 of the U.S. Rehabilitation Act; requires federal agencies and their contractors to ensure digital products and services are accessible to individuals with disabilities.,,
Zeitgeist,"The general cultural, intellectual, or social climate of a particular time period; understanding the zeitgeist can help designers create products that resonate with users and feel relevant, modern, and engaging.",,
Ethnographic Research,"A qualitative research method that involves observing and studying users in their natural environment to gain insights into their behaviors, motivations, and needs; widely used in UX design to inform user personas, requirements, and design decisions.",,
Contextual Inquiry,"A user research method that combines interviews and direct observation to understand users' needs, motivations, and challenges in the context of their real-world environment; helps UX designers identify pain points and opportunities for improvement.",,
Participatory Design,"A collaborative design approach that actively involves stakeholders, including users, in the design process; encourages open communication, shared decision-making, and mutual learning; results in more user-centered, relevant, and effective designs.",,
Service Design,"A holistic approach to designing experiences that focuses on the entire journey of a user, including both digital and non-digital touchpoints; seeks to create seamless, integrated, and valuable interactions throughout the customer lifecycle.",,
Design Sprint,"A time-constrained, structured design process that aims to quickly ideate, prototype, and validate solutions to specific user problems; often used in UX design to address challenges, explore new ideas, or test assumptions.",,
Diary Study,"A longitudinal user research method in which participants record their experiences, thoughts, and feelings related to a product or service over an extended period; provides insights into users' behaviors, needs, and pain points in their everyday context.",,
Empathy Mapping,"A visual representation of a user's thoughts, feelings, needs, and motivations, based on research and observations; helps designers build empathy and a deeper understanding of users, informing more user-centered design decisions.",,
Readability,"The ease with which users can read and comprehend text in a digital product; affected by factors such as font size, line length, and color contrast; an essential aspect of usability and accessibility in UX design.",,
Scrolling,"The action of moving content vertically or horizontally within a viewport to reveal additional information; an important consideration in UX design, as it affects the way users interact with and consume content.",,
Skeuomorphism,A design approach that imitates the appearance or functionality of real-world objects or materials; often used in UI design to create a sense of familiarity and intuitiveness; has been largely replaced by flat design and minimalism in recent years.,,
Task Analysis,"The process of breaking down a user's tasks into individual steps, to understand how users interact with a product and identify areas for improvement; helps inform user flow, interaction design, and feature prioritization.",,
User-Centered Design (UCD),"A design approach that prioritizes the needs, preferences, and context of the end-users; involves researching, testing, and iterating on designs to ensure they are usable, accessible, and enjoyable for the target audience.",,
User Goals,"The objectives that users seek to achieve when interacting with a digital product or service; understanding user goals helps designers create experiences that align with users' needs and motivations, leading to greater satisfaction and engagement.",,
User Research,"The process of gathering information about users, their needs, preferences, and context through various methods, such as interviews, surveys, or observations; informs user personas, design decisions, and feature prioritization in UX design.",,
User Stories,"Brief, informal descriptions of a user's needs, goals, or tasks, often written from the user's perspective; used to guide design decisions, prioritize features, and ensure the product aligns with user expectations and requirements.",,
Visual Hierarchy,"The arrangement and presentation of visual elements in a design to convey importance, relationships, and structure; achieved through factors such as size, color, contrast, and alignment; essential for creating a clear and effective user experience.",,
White Space,"The empty or unoccupied space around visual elements in a design; helps create balance, contrast, and visual hierarchy; improves readability and comprehension by preventing clutter and allowing users to focus on important content.",,
Feedback,"Information provided to users about the result of an action or interaction, such as visual cues, sounds, or messages; helps users understand the consequences of their actions and navigate a digital product more effectively.",,
Flat Design,"A visual design style characterized by minimalism, simplicity, and the use of two-dimensional elements; often used in UI design to create a clean, modern aesthetic and improve usability.",,
Fitts' Law,"A principle of human-computer interaction stating that the time it takes to acquire a target is a function of the distance to and size of the target; informs UX/UI design best practices, such as button sizes and placement.",,
Hamburger Menu,"A UI design element that typically consists of three horizontal lines, representing a collapsible menu; often used in mobile or responsive design to save space and simplify navigation.",,
Hick's Law,"A principle of human-computer interaction stating that the time it takes to make a decision increases with the number and complexity of choices; informs UX/UI design best practices, such as simplifying choices and reducing cognitive load.",,
Material Design,"A design language developed by Google that focuses on grid-based layouts, responsive animations, and depth effects; often used in UI design to create a consistent and visually appealing experience across platforms.",,
Minimum Viable Product (MVP),"A version of a digital product with just enough features to be usable and valuable for early users, allowing designers and developers to gather feedback and iterate on the product; an essential concept in agile and lean UX methodologies.",,
Modal Window,"A UI design element that displays additional content or prompts user interaction within a smaller window, overlaying the main content; often used for forms, alerts, or confirmations; should be used judiciously to avoid disrupting the user experience.",,
Onboarding,"The process of introducing and familiarizing users with a digital product or service; can include tutorials, tooltips, or guided tours; aims to improve user retention and satisfaction by making it easy to understand and use a product.",,
Progressive Disclosure,"A UX design strategy that presents only the most essential information or features upfront, while revealing additional details or options as needed; reduces cognitive load and complexity by providing information in a more digestible manner.",,
A/B Testing,"A method of comparing two or more variations of a design element or feature to determine which performs better; often used in UX design to optimize conversion rates, user engagement, or other key performance indicators (KPIs).",,
Affordance,"A design attribute that suggests how an object or element should be used, based on its appearance or context; helps users understand how to interact with a digital product; examples include buttons, sliders, and switches.",,
Call-to-Action (CTA),"A design element, such as a button or link, that encourages users to take a specific action, like making a purchase or signing up for a newsletter; strategically placed and visually emphasized to attract user attention and engagement.",,
Card Sorting,"A UX research method in which users organize and categorize content or features into groups; helps designers understand user mental models and inform information architecture, navigation, and labeling decisions.",,
Cognitive Load,"The mental effort required to process and understand information or complete a task; UX design aims to minimize cognitive load by presenting information in a clear, concise, and easily digestible manner.",,
Consistency,"Maintaining a uniform design, layout, and interaction across a digital product; promotes usability and learnability by establishing familiar patterns and expectations for users; includes visual and functional consistency.",,
Content Strategy,"The planning, creation, and management of content in a digital product; ensures content is relevant, useful, and engaging for users; an essential aspect of UX design that works in tandem with visual and interaction design.",,
Conversion Rate,"The percentage of users who complete a desired action, such as making a purchase or signing up for a service; an important metric in UX design, as it reflects the effectiveness of the overall user experience.",,
Design Pattern,"A reusable solution to common design problems or challenges; helps establish consistency and best practices in UX/UI design; examples include navigation menus, search bars, and login forms.",,
Design System,"A comprehensive set of design guidelines, components, and patterns that ensure consistency, scalability, and efficiency across a digital product or ecosystem; includes visual, interaction, and code elements.",,
Design Thinking,"A problem-solving approach that emphasizes empathy, experimentation, and iteration; often used in UX design to identify user needs, generate ideas, and validate solutions through prototyping and testing.",,
Error Prevention,"UX design strategies and techniques aimed at minimizing user errors, such as providing clear instructions, validating input, and offering confirmations before destructive actions; improves the overall user experience.",,
Interaction Design (IxD),"The design of how users interact with a digital product, focusing on creating meaningful and efficient interactions; includes elements such as buttons, gestures, animations, and transitions.",,
Usability,"The degree to which a product or system is easy to learn, efficient to use, and satisfying for the user; a key aspect of UX design; evaluated through methods such as user testing, expert reviews, and heuristic evaluations.",,
Accessibility,"The design of a product or system to be usable by individuals with disabilities; includes considerations such as color contrast, font size, and keyboard navigation; ensures digital experiences are inclusive and usable by all.",,
Wireframe,"A low-fidelity, simplified visual representation of a digital product's layout; used to plan and communicate the structure and functionality of a design; typically includes placeholders for content and interactive elements.",,
Prototype,"A working model of a digital product or feature used to test, refine, and validate design concepts; can range from low-fidelity (paper or digital) to high-fidelity (fully interactive); used for user testing and stakeholder feedback.",,
Responsive Design,"A design approach that ensures a digital product's layout and functionality adapt to different screen sizes and devices; improves usability and accessibility across various platforms; often involves fluid grids, flexible images, and media queries.",,
User Persona,"A fictional representation of a target user group, based on research and data; helps designers understand and empathize with users' needs, goals, and pain points; guides design decisions to better serve target users.",,
User Flow,A visual representation of the steps and actions a user takes to complete a task or achieve a goal within a digital product; helps designers identify pain points and opportunities for improvement; guides the design of efficient and intuitive interactions.,,
User Journey Map,"A visual representation of a user's experience with a product or service over time, including touchpoints, actions, emotions, and pain points; helps designers understand and improve the overall user experience.",,
Human-Computer Interaction (HCI),"The study and design of how people interact with computers and digital systems; focuses on creating usable, efficient, and enjoyable experiences; informs best practices in UX/UI design.",,
Heuristic Evaluation,A usability inspection method in which experts evaluate a digital product against a set of established usability principles (heuristics); identifies potential usability issues; often conducted prior to user testing.,,
User Testing,"The process of observing and gathering feedback from real users as they interact with a digital product or prototype; helps identify usability issues, validate design decisions, and improve the overall user experience.",,
Tint,"A lighter version of a color, created by adding white; can be used to create a sense of depth, contrast, or harmony in a composition; often used in color schemes and gradients.",,
Tone,"A variation of a color, created by adding gray; can be used to create a sense of depth, contrast, or harmony in a composition; often used in color schemes and gradients.",,
Trompe l'oeil,"A painting or design technique that creates the illusion of three-dimensionality or realism; translates to ""deceive the eye"" in French; often used in mural painting, architectural details, or other decorative art forms.",,
Vignette,"A decorative or illustrative element that fades or tapers off at the edges; often used in graphic design, photography, or book illustration to create a focal point or frame a composition.",,
Visual narrative,"The use of visual elements, such as images, symbols, or typography, to tell a story or convey a message; often used in graphic design, illustration, or sequential art, such as comics or storyboards.",,
Watermark,"A translucent design or pattern embedded into paper, often used for security or branding purposes; can be created during the papermaking process or applied digitally; adds a subtle visual element to a design.",,
Wabi-sabi,"A Japanese aesthetic concept that embraces the beauty of imperfection, impermanence, and simplicity; often associated with natural materials, rough textures, and organic forms; can be applied to art, design, and architecture.",,
Wet-on-wet,"A painting technique that involves applying wet paint onto an already wet surface, often used in watercolor or oil painting; creates soft, blended effects and a sense of spontaneity.",,
Xylography,"The art of engraving or carving images or designs onto a wooden surface, typically for printmaking purposes; also known as woodcut or woodblock printing; one of the oldest methods of producing multiple copies of an image.",,
User Experience (UX),"The overall experience a user has while interacting with a product, system, or service; focuses on usability, accessibility, and emotional response; aims to create a seamless, efficient, and enjoyable experience.",,
User Interface (UI),"The visual components, layout, and interactive elements of a digital product or system; allows users to interact with and control a product or application; includes buttons, menus, icons, and other design elements.",,
Information Architecture (IA),"The organization, structure, and labeling of content in a digital product; helps users find information and complete tasks efficiently; includes navigation, site maps, and content hierarchy.",,
Overlapping,"The placement of visual elements in a composition so that they partially cover or obscure each other; can create a sense of depth, hierarchy, or spatial relationships.",,
Parallax,A visual effect that occurs when the position or direction of an object appears to change due to the viewer's movement; often used in web design or animation to create a sense of depth and interactivity.,,
Photomontage,"An art technique that involves combining multiple photographs or fragments of photographs to create a new image; often used in collage, mixed media, or surrealist art.",,
Pointillism,A painting technique that involves applying small dots or points of color to create an image; pioneered by artists such as Georges Seurat and Paul Signac; relies on the viewer's eye to blend the colors optically.,,
Repetition,"A principle of design that involves the use of recurring visual elements, such as shapes, lines, or colors; can create rhythm, movement, or patterns; contributes to visual harmony and unity.",,
Rule of thirds,A compositional guideline that divides an image into nine equal parts using two equally spaced horizontal and vertical lines; suggests placing points of interest along these lines or at their intersections; often used in photography and design to create balanced and visually engaging compositions.,,
Screen printing,"A printmaking technique that involves transferring ink through a stencil or screen onto a substrate, such as paper or fabric; often used for posters, textiles, or fine art prints.",,
Stylization,"The simplification, exaggeration, or distortion of visual elements to create a distinctive or decorative effect; often used in art and design to create a unique style, evoke emotion, or convey ideas.",,
Subtractive color,"A color model based on the idea that colors are created by subtracting or absorbing certain wavelengths of light; used in traditional art media, such as painting and printmaking; based on the primary colors of red, yellow, and blue.",,
Surrealism,"An art movement that explored the irrational and subconscious aspects of the human mind; often featured dreamlike imagery, unexpected juxtapositions, and symbolic elements; influenced by the theories of Sigmund Freud and the writings of André Breton.",,
Tactile texture,"The actual physical texture or surface quality of an object, such as rough, smooth, or soft; can be experienced through touch; often used in sculpture, ceramics, or other three-dimensional art forms.",,
Thumbnail sketch,"A small, rough drawing or sketch used to quickly explore and refine ideas or compositions; often used in the early stages of the creative process; helps visualize concepts and plan final designs.",,
CMYK,"A color model used in print design, referring to the four inks: cyan, magenta, yellow, and key (black); used to reproduce a wide range of colors by mixing different percentages of these inks.",,
Collage,"An art technique that involves assembling and layering various materials, such as paper, fabric, or photographs, onto a surface; creates texture, depth, and visual interest; often used in mixed media compositions.",,
Conceptual art,Art that prioritizes the underlying concept or idea over the visual or formal aspects; often involves unconventional or experimental techniques; challenges traditional notions of what art can be.,"techniques,visual art",
Contour,"The outline or edge of a shape or form; can define the boundaries of an object, create depth, or add visual interest; often used in drawing and painting.","techniques,visual art",
Cross-hatching,"A drawing technique that involves creating shading and texture by layering intersecting lines; can create a sense of depth, volume, and form; often used in pen and ink drawings.","techniques,visual art",
Diagonal lines,"Lines that slant or incline between horizontal and vertical orientations; often used to create movement, tension, or dynamic compositions; can lead the viewer's eye through a design.","techniques,visual art",
Dominance,"The visual prominence or importance of an element in a composition; can create emphasis, hierarchy, and contrast; often achieved through size, color, or placement.","techniques,visual art",
Expressive lines,"Lines that convey emotion or feeling through their characteristics, such as thickness, curvature, or irregularity; often used in drawing and painting to evoke a sense of energy, movement, or mood.","techniques,visual art",
Focal point,"The area or element in a composition that attracts the viewer's attention; can be created through emphasis, contrast, or other visual techniques; helps guide the viewer's eye through a design.","composition,techniques,visual art",
Foreshortening,"A perspective technique that involves depicting objects or figures at an angle, so they appear shorter and more three-dimensional; often used in drawing and painting to create the illusion of depth and space.","techniques,visual art",
Futurism,"An art movement that emphasized speed, technology, and modernity; often featured dynamic compositions, geometric shapes, and vibrant colors; sought to capture the energy and excitement of the early 20th century.",art history,
Gestalt principles,"A set of psychological principles that describe how humans perceive and organize visual information; includes concepts such as proximity, similarity, and closure; often used in design to create visual unity and coherence.",elements and principles,
X-height,"The height of lowercase letters in a typeface, typically measured by the height of the letter 'x'; affects the overall appearance, legibility, and readability of text; an important aspect of typography.",digital fabrication,
Z-axis,Refers to the depth dimension in a three-dimensional artwork or design; used in perspective drawing and computer-generated imagery to create the illusion of depth and spatial relationships.,digital fabrication,
Abstract art,"A style of art that does not attempt to represent reality accurately; emphasizes the use of shapes, colors, and forms to convey emotions, ideas, or concepts; can range from slightly distorted to completely non-representational.",art history,
Analogous colors,"Colors that are adjacent to each other on the color wheel, such as blue, blue-green, and green; often used together in harmonious color schemes; can create a sense of unity and balance.","techniques,print,graphic design",
Asymmetrical balance,"A principle of design that involves the unequal distribution of visual weight on either side of a composition; can create dynamic, interesting, and visually engaging compositions.","techniques,visual art",
Baseline,The imaginary line on which text characters rest; essential in typography for aligning and organizing text; can impact the overall readability and appearance of a design.,"techniques,print,graphic design",
Bleed,"In print design, the area that extends beyond the edge of the final printed piece; allows for slight variations in trimming; ensures that no white space remains at the edges of the design after cutting.","techniques,print,graphic design",
Complementary colors,"Colors that are opposite each other on the color wheel, such as red and green, or blue and orange; often used together to create strong contrast and visual interest; can create a sense of balance and harmony.","techniques,visual art,color theory",
Triadic color scheme,"A color scheme that uses three colors evenly spaced around the color wheel, such as red, yellow, and blue; can create a vibrant and visually engaging composition; often used to create contrast and variety.","techniques,visual art,color theory",
Alignment,"The arrangement of elements in a composition according to a common edge, axis, or center; can create order, unity, and visual hierarchy; often used in typography and grid-based design.",elements and principles,
Ambiguity,"The quality of being open to multiple interpretations or meanings in a work of art or design; can create visual interest, provoke thought, or invite viewer engagement.","techniques,visual art,semiotics",
Avant-garde,"Art or design that pushes boundaries, challenges conventions, and explores new ideas or techniques; often innovative, experimental, or groundbreaking; can influence future movements or trends.",art history,
Brand identity,"The visual elements that represent a company, product, or service, such as logos, colors, typography, and imagery; conveys the core values, personality, and essence of a brand; essential in creating a consistent and memorable image.",graphic design,
Style,"The distinctive visual characteristics or techniques of an artist, movement, or period; can include elements such as color, line, form, and composition; often used to classify or categorize artwork.",visual art,
Symmetry,"A principle of design that involves the equal distribution of elements on either side of an axis or center point; creates balance, harmony, and a sense of order; often used in formal or traditional compositions.",elements and principles,
Texture,"A basic element of design that refers to the surface quality or appearance of an object, such as rough, smooth, or soft; can be actual (tactile) or implied (visual); adds depth and visual interest.",elements and principles,
Typography,"The art and technique of arranging type, including letterforms, typefaces, and styles; essential in graphic design, especially for creating readable and visually appealing text.",graphic design,
Unity,"A principle of design that involves the cohesive arrangement of visual elements in a composition; creates harmony and a sense of wholeness; often achieved through repetition, proximity, or alignment.",elements and principles,
Value,"A basic element of design that refers to the lightness or darkness of a color; helps create contrast, depth, and the illusion of form; essential for monochromatic and grayscale artworks.",elements and principles,
Vanishing point,The point in linear perspective where parallel lines appear to converge; used to create the illusion of depth and three-dimensionality in a two-dimensional artwork.,"techniques,visual art",
Visual hierarchy,"The organization of elements in a composition according to their importance or prominence; guides the viewer's eye and provides structure; often achieved through scale, color, or contrast.",elements and principles,
Visual weight,"The perceived importance or prominence of an element in a composition; influenced by factors such as size, color, and contrast; contributes to balance and hierarchy.",elements and principles,
Warm colors,"Colors that evoke a sense of warmth, such as red, orange, and yellow; often associated with energy, excitement, and passion; can be used to create contrast or emphasis.","techniques,visual art",
Cool colors,"Colors that evoke a sense of coolness, such as blue, green, and violet; often associated with calmness, tranquility, and relaxation; can be used to create contrast or emphasis.","techniques,visual art",
White space,"The unoccupied or empty areas in a composition; also known as negative space; contributes to balance, contrast, and visual hierarchy; can improve readability and legibility in typography.",elements and principles,
Medium,"The materials or techniques used to create a work of art, such as oil paint, watercolor, or digital software; influences the appearance and texture of the finished piece.","techniques, visual art",
Minimalism,"An art and design movement emphasizing simplicity, clean lines, and the reduction of elements to their essential forms; often features geometric shapes, monochromatic color schemes, and limited details.",art history,
Movement,"A principle of design that conveys a sense of motion or direction; can be achieved through repetition, rhythm, or the arrangement of visual elements; guides the viewer's eye through the composition.",elements and principles,
Negative space,"The unoccupied or empty areas in a composition; also known as white space; contributes to balance, contrast, and visual hierarchy.",elements and principles,
Organic shapes,"Shapes found in nature, such as leaves, flowers, or animals; irregular and free-flowing; often used in art and design to create a sense of naturalism or movement.",elements and principles,
Palette,A range of colors used in a work of art or design; can be harmonious or contrasting; influences the overall mood and aesthetic,,
Perspective,"A technique used to create the illusion of depth and three-dimensionality in a two-dimensional artwork; can be linear, atmospheric, or one-point, two-point, or three-point perspective; helps establish spatial relationships and realism.","techniques,visual art",
Proportion,"The relationship between the size and scale of different elements in a composition; can create harmony, balance, and visual interest; often guided by principles such as the golden ratio.",elements and principles,
Rhythm,"A principle of design that involves the repetition or alternation of visual elements, such as shapes, lines, or colors; creates a sense of movement, flow, or pattern; contributes to visual harmony.",elements and principles,
Saturation,"The intensity or purity of a color; highly saturated colors are vivid and bold, while less saturated colors are muted or grayish; can impact the overall mood and atmosphere of a design.",elements and principles,
Scale,"The relative size of different elements in a composition; can create visual hierarchy, emphasis, or contrast; contributes to the overall balance and harmony of a piece.",elements and principles,
Shape,"A basic element of design that refers to a two-dimensional, enclosed area; can be geometric, organic, or abstract; often used to create patterns, define forms, or add visual interest.",elements and principles,
Space,A basic element of design that refers to the area occupied or unoccupied by objects or elements; can be positive (occupied) or negative (unoccupied); influences the overall composition and balance of a piece.,elements and principles,
